idx1,idx2,Common_growth_anaer,M1growth_anaer,M2growth_anaer
1,2,0.633686072303995,0.442736742298763,0.190949330005231
1,3,0.600372444573774,0.0969472995906895,0.503425144983085
1,4,0.754364690173922,0.049128984377085,0.705235705796837
1,5,0.511493416679734,-5.49885925508115e-14,0.511493416679789
1,6,0.328401344033188,0.2547172593408,0.0736840846923872
1,7,0.868236585538075,0.179068303227539,0.689168282310537
1,8,0.896820954327163,0.414768362350626,0.482052591976537
1,9,1.05482223929824,-1.7043483332365e-13,1.05482223929841
1,10,1.05017543396464,-1.77505024553575e-13,1.05017543396482
1,11,0.81137576093199,0.500320783705223,0.311054977226767
1,12,0.866608447239131,0.520345509418254,0.346262937820878
1,13,0.879260088273095,0.139129217984087,0.740130870289008
1,14,0.48109779453262,0.286399491999023,0.194698302533597
1,15,0.545575448136433,0.144150013296563,0.40142543483987
1,16,0.36014534687945,0.279657461043288,0.0804878858361619
1,17,0.635695154600349,0.410110536113744,0.225584618486605
1,18,0.439450221519949,0.274933847206407,0.164516374313541
1,19,2.07710680565291,1.61946816665407,0.45763863899884
1,20,0.619225053711505,0.401445948427606,0.217779105283899
2,3,0.604540604266626,0.0450797367351881,0.559460867531438
2,4,0.629053267145343,0.0593527898446328,0.56970047730071
2,5,0.653264351689004,0.478608897553539,0.174655454135465
2,6,0.63923113722735,0.5106323667422,0.12859877048515
2,7,1.07917570178181,0.0495622092915238,1.02961349249029
2,8,0.986162959897828,0.441823618189216,0.544339341708612
2,9,1.61555748751655,0.315710742782324,1.29984674473423
2,10,1.60394275740809,0.311935994901825,1.29200676250626
2,11,1.12650691452046,0.61909299196602,0.507413922554442
2,12,1.03335839136294,0.615093260715687,0.418265130647253
2,13,1.34318030810434,0.387792673328094,0.955387634776246
2,14,0.738651529565007,0.40060372954872,0.338047800016288
2,15,0.622097349751295,0.28409529917824,0.338002050573055
2,16,0.717774367807838,0.545779907925432,0.171994459882405
2,17,0.712050575278328,0.414059206934237,0.297991368344091
2,18,0.720755665865355,0.393628713388706,0.327126952476649
2,19,1.28852022124764,0.104545257532988,1.18397496371465
2,20,0.863557684353166,0.538065433777972,0.325492250575193
3,4,0.565105472860096,0,0.565105472860096
3,5,0.60053359359338,0.500470667039429,0.100062926553951
3,6,0.541572921661631,0.474825503072448,0.0667474185891831
3,7,0.963478094335326,0.277200206947296,0.68627788738803
3,8,1.08970725007588,0.708045032907586,0.381662217168291
3,9,1.22824055343939,0.328782758309193,0.899457795130202
3,10,1.21684290288722,0.402472711610041,0.814370191277175
3,11,1.03031320904783,0.591982994770566,0.438330214277261
3,12,1.15046498020605,0.724958648533543,0.425506331672505
3,13,1.04881623003475,0.479214659200031,0.569601570834718
3,14,0.652621259111219,0.427637661978928,0.224983597132292
3,15,0.658891264717208,0.364064719657605,0.294826545059603
3,16,0.628064435835481,0.5507636107625,0.0773008250729808
3,17,0.76766920689897,0.458291137704162,0.309378069194808
3,18,0.612183830454547,0.370664906345215,0.241518924109332
3,19,1.06697260003919,3.27719748051272e-12,1.06697260003591
3,20,0.827309371433658,0.578062420285546,0.249246951148112
4,5,0.841707045515805,0.706937153337393,0.134769892178413
4,6,0.721221084663322,0.57578064118386,0.145440443479462
4,7,1.16392993678627,0.376525599210269,0.787404337575998
4,8,1.11251203748072,0.726060413005752,0.386451624474964
4,9,1.4051633682225,1.14744218465258,0.257721183569918
4,10,1.39256293616962,0.861683445813927,0.530879490355689
4,11,1.22577741730674,0.707450347738093,0.518327069568645
4,12,1.14954420166441,0.721497561690193,0.428046639974219
4,13,1.27839340764937,0.565233687118926,0.71315972053044
4,14,0.889922060466216,0.555516241756038,0.334405818710178
4,15,0.679513339464139,0.411221632269886,0.268291707194253
4,16,0.71854303417062,0.65819204283689,0.0603509913337302
4,17,0.761171087927886,0.405518807333353,0.355652280594533
4,18,0.808179419878222,0.469048883995834,0.339130535882387
4,19,1.21052508387463,0.241921622944729,0.968603460929905
4,20,1.0575407383033,0.701655295821045,0.355885442482251
5,6,0.519949782848022,0.519949782848022,-8.28434083498761e-22
5,7,2.94561298814279,1.51066882295659,1.4349441651862
5,8,1.2340500670323,0,1.2340500670323
5,9,1.09903821939498,-1.7666252736455e-26,1.09903821939498
5,10,1.0919373411743,0,1.0919373411743
5,11,2.20251333018362,1.7084105392545,0.49410279092912
5,12,1.19008227298152,0.831457245156248,0.358625027825272
5,13,0.951725208678069,0,0.951725208678069
5,14,0.599961124497169,0.32248556027765,0.277475564219519
5,15,1.70841053926137,0.0373023377181975,1.67110820154317
5,16,0.446090341793179,0.446090341796788,-3.60867791445359e-12
5,17,0.63239393869196,0.219247532932038,0.413146405759922
5,18,0.612220834401487,0.389351432202136,0.222869402199351
5,19,2.70280552880831,2.24516688980947,0.45763863899884
5,20,1.70841053924924,1.70841053924924,-4.08289047922623e-24
6,7,3.75653335749513,-1.91917297215519e-12,3.75653335749705
6,8,0.839584913318241,0,0.839584913318241
6,9,2.56261580888482,1.17207490362596e-13,2.5626158088847
6,10,2.56261580887183,1.17207490362596e-13,2.56261580887171
6,11,0.917849560754332,0.472310786163133,0.445538774591199
6,12,0.931274179775793,0.472269413493429,0.459004766282364
6,13,2.56261580887427,1.80519234726643,0.757423461607843
6,14,0.443247708877455,0.21579000614623,0.227457702731226
6,15,0.85420526962536,0,0.85420526962536
6,16,0.321151512082951,0.211902567177667,0.109248944905284
6,17,0.542011288631937,0.279459217347298,0.26255207128464
6,18,0.391284624800406,0.181531769410725,0.209752855389681
6,19,2.43180025169846,1.97416161269962,0.45763863899884
6,20,0.682513971214574,0.352972527695658,0.329541443518916
7,8,4.26810967155716,3.02656250844889,1.24154716310827
7,9,4.03027691870581,4.030276918706,-1.89034648141602e-13
7,10,3.9906317669419,3.99063176694209,-1.89034648141095e-13
7,11,4.41449084526144,4.41449084526144,0
7,12,4.55327632024141,4.55327632024141,0
7,13,3.77135158739041,3.11917125133237,0.652180336058042
7,14,3.0606675652102,3.06066756520226,7.9396887623611e-12
7,15,4.10911838362424,4.10911838362424,0
7,16,0.935368046239444,0.935368046239444,0
7,17,1.36679883020399,1.00833262550082,0.358466204703162
7,18,3.50951714877086,3.50951714877086,0
7,19,3.86534448284831,3.86534448285385,-5.54536266816079e-12
7,20,3.87915401635603,3.87915401635603,0
8,9,2.56261580887463,0,2.56261580887463
8,10,2.56261580887984,1.51414199519785e-27,2.56261580887984
8,11,1.44844463608119,0.78204500967483,0.666399626406356
8,12,1.51740025815526,0.829663817530023,0.687736440625238
8,13,2.56261580887976,-1.3871494407619e-26,2.56261580887976
8,14,1.14629281014199,0.6483015240503,0.497991286091692
8,15,1.70841053925012,0,1.70841053925012
8,16,0.914770986126582,0.733603578432244,0.181167407694338
8,17,0.950241691725636,0.201172133633521,0.749069558092115
8,18,1.10726540529177,0.598763277280323,0.508502128011447
8,19,3.6943014783924,0,3.6943014783924
8,20,1.19404066425976,0.639157058694569,0.554883605565194
9,10,0.958021268358096,0.958021268376796,-1.8699918131024e-11
9,11,3.33761658848425,2.56261580887749,0.775000779606767
9,12,3.27488133179322,2.56261580887222,0.712265522920999
9,13,2.56261580887895,2.56261580887912,-1.69765555904321e-13
9,14,1.2568443207781,0.791993629485922,0.464850691292177
9,15,2.56261580887515,2.56261580886445,1.06912933480764e-11
9,16,1.04236783389767,1.04236783389767,0
9,17,1.52859654509412,1.14116995974302,0.3874265853511
9,18,1.1837099411865,0.778712766282775,0.404997174903724
9,19,3.69430147839284,-7.25055667929979e-14,3.69430147839292
9,20,2.56261580888336,2.56261580888336,-1.88743087981982e-27
10,11,3.31346385760976,2.56261580887686,0.750848048732899
10,12,3.26542230823682,2.56261580887465,0.702806499362179
10,13,2.56261580887748,2.56261580887764,-1.69765555904163e-13
10,14,1.24965594958732,0.771693829075258,0.477962120512065
10,15,2.56261580887096,-2.40589552179575e-13,2.5626158088712
10,16,1.04161924820944,1.04161924820944,0
10,17,1.55652145502835,0.0578843867677684,1.49863706826058
10,18,1.18784030156327,0.772066486591554,0.415773814971719
10,19,3.69430147839674,-1.89034648140988e-13,3.69430147839693
10,20,2.5626158088816,2.5626158088816,8.92188576890828e-25
11,12,0.697071827135092,2.47479936961975e-24,0.697071827135092
11,13,3.24301153072969,0.680395721847179,2.56261580888251
11,14,0.484912888498047,0.0720160214203693,0.412896867077678
11,15,1.100578274591,0.384745530221595,0.71583274436941
11,16,0.730124157544338,0.450378430392089,0.279745727152249
11,17,1.14454766618695,0.536808849430261,0.607738816756685
11,18,0.463586578806162,0.0812265766250496,0.382360002181112
11,19,1.68945201035692,1.23181337135806,0.457638638998863
11,20,0.548681881111083,0.548681881111083,4.68296666365381e-21
12,13,3.27903592017853,0.716420111295462,2.56261580888307
12,14,0.451132069044749,-3.81166666179612e-25,0.451132069044749
12,15,0.956359891066058,0.39196017370734,0.564399717358718
12,16,0.766142220486641,0.400133376685997,0.366008843800643
12,17,0.954139541799622,0.474966635734954,0.479172906064668
12,18,0.445270945700848,0,0.445270945700848
12,19,1.12083631421496,0.663197675216116,0.45763863899884
12,20,0.526147396501607,0.526147396501607,0
13,14,1.05757501902144,0.641075019544078,0.416499999477359
13,15,2.56261580886887,0.539580226375066,2.0230355824938
13,16,0.893883575714934,0.835803970613209,0.0580796051017255
13,17,1.32932928890546,0.908104373554924,0.421224915350531
13,18,2.56261580887952,2.56261580888172,-2.20131145228539e-12
13,19,3.69430147839409,-2.40589552179575e-13,3.69430147839433
13,20,2.56261580888229,2.56261580888229,1.0380869839009e-27
14,15,1.15066925317424,0.296463983548242,0.854205269626
14,16,0.422091698449676,0.268703425611852,0.153388272837824
14,17,0.796496831352822,0.429618640778116,0.366878190574706
14,18,0.273673531911739,0.273673531918631,-6.89187878717072e-12
14,19,0.89738878119325,0.43975014219441,0.457638638998841
14,20,0.361039269130209,0.361039269130209,-1.32875133939315e-25
15,16,1.06689578485505,0.372607840664655,0.694287944190395
15,17,0.692220785953333,0.26270133629531,0.429519449658022
15,18,1.13067887099838,0.854205269625073,0.276473601373304
15,19,1.12602961499038,0,1.12602961499038
15,20,1.70841053925428,1.70841053925428,1.4791418318972e-23
16,17,0.576101221657242,0.150021169477412,0.42608005217983
16,18,0.329702830486891,0.115261331206193,0.214441499280698
16,19,2.88187579929206,2.42423716029322,0.45763863899884
16,20,0.585085203400633,0.31957890842387,0.265506294976763
17,18,0.718691556186792,0.324401628906741,0.394289927280051
17,19,1.41701588863993,0.00586725596694646,1.41114863267298
17,20,1.04990834568424,0.540494060432702,0.509414285251533
18,19,0.885019546012053,0.427380907013213,0.45763863899884
18,20,0.359960326370479,0.359960326370479,3.62386728925405e-25
19,20,0.947367961004139,0.457638638998795,0.489729322005344
